dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,23.557208,24.948283,0.000100,0.020000,2.000000,200.000000,2.661094
0.010000,23.557025,24.948378,0.000306,0.020617,0.061729,-193.827058,2.661301
0.010000,23.556613,24.948593,0.000770,0.046409,2.579218,251.748878,2.661765
0.010000,23.555880,24.948973,0.001596,0.082576,3.616656,103.743764,2.662590
0.010000,23.553764,24.950071,0.003980,0.238405,15.582880,1196.622391,2.663831
0.010000,23.549448,24.952301,0.008838,0.485805,24.740039,915.715883,2.665490
0.010000,23.544038,24.955083,0.014921,0.608335,12.252959,-1248.707963,2.667574
0.010000,23.537527,24.958413,0.022235,0.731364,12.302877,4.991782,2.670087
0.010000,23.529902,24.962287,0.030787,0.855178,12.381484,7.860767,2.673038
0.010000,23.521155,24.966695,0.040582,0.979536,12.435787,5.430255,2.676434
0.010000,23.511266,24.971635,0.051636,1.105415,12.587839,15.205198,2.680288
0.010000,23.500221,24.977095,0.063957,1.232066,12.665102,7.726339,2.684608
0.010000,23.488002,24.983067,0.077558,1.360078,12.801221,13.611846,2.689409
0.010000,23.474587,24.989540,0.092452,1.489447,12.936917,13.569595,2.694705
0.010000,23.459950,24.996502,0.108661,1.620832,13.138516,20.159932,2.700512
0.010000,23.444070,25.003937,0.126195,1.753463,13.263095,12.457930,2.706847
0.010000,23.426917,25.011831,0.145078,1.888225,13.476196,21.310099,2.713729
0.010000,23.408461,25.020165,0.165329,2.025116,13.689044,21.284719,2.721180
0.010000,23.388669,25.028919,0.186970,2.164111,13.899505,21.046179,2.729222
0.010000,23.367504,25.038068,0.210027,2.305744,14.163300,26.379507,2.737879
0.010000,23.344931,25.047587,0.234525,2.449803,14.405959,24.265815,2.747177
0.010000,23.320908,25.057447,0.260493,2.596804,14.700126,29.416758,2.757145
0.010000,23.295391,25.067612,0.287960,2.746701,14.989631,28.950489,2.767812
0.010000,23.268336,25.078047,0.316958,2.899763,15.306260,31.662920,2.779210
0.010000,23.239695,25.088707,0.347519,3.056108,15.634487,32.822720,2.791372
0.010000,23.209415,25.099546,0.379680,3.216090,15.998146,36.365878,2.804333
0.010000,23.177447,25.110509,0.413476,3.379577,16.348720,35.057350,2.818129
0.010000,23.143739,25.121536,0.448942,3.546612,16.703485,35.476545,2.832796
0.010000,23.108235,25.132559,0.486117,3.717568,17.095645,39.215983,2.848372
0.010000,23.070881,25.143502,0.525041,3.892376,17.480740,38.509496,2.864896
0.010000,23.031627,25.154279,0.565748,4.070685,17.830950,35.021050,2.882403
0.010000,22.990421,25.164799,0.608275,4.252718,18.203312,37.236111,2.900931
0.010000,22.947219,25.174955,0.652655,4.437955,18.523714,32.040276,2.920511
0.010000,22.901981,25.184633,0.698917,4.626182,18.822688,29.897360,2.941174
0.010000,22.854675,25.193709,0.747086,4.816903,19.072086,24.939811,2.962944
0.010000,22.805280,25.202047,0.797179,5.009335,19.243166,17.108022,2.985839
0.010000,22.753789,25.209501,0.849207,5.202826,19.349086,10.592021,3.009868
0.010000,22.700213,25.215915,0.903166,5.395846,19.301986,-4.710044,3.035028
0.010000,22.644581,25.221129,0.959042,5.587590,19.174464,-12.752215,3.061306
0.010000,22.586946,25.224974,1.016804,5.776250,18.865983,-30.848068,3.088670
0.010000,22.527388,25.227282,1.076407,5.960333,18.408282,-45.770165,3.117075
0.010000,22.466013,25.227886,1.137785,6.137731,17.739772,-66.850947,3.146455
0.010000,22.402959,25.226625,1.200852,6.306673,16.894293,-84.547908,3.176724
0.010000,22.338394,25.223352,1.265500,6.464854,15.818024,-107.626947,3.207775
0.010000,22.272512,25.217935,1.331604,6.610383,14.552889,-126.513499,3.239482
